\u006D\u0310,\u0B01
\u0061\u0069,\u0B10
\u0061\u0075,\u0B14
\u0061,\u0B05
\u0101,\u0B06
\u0069,\u0B07
\u012B,\u0B08
\u0075,\u0B09
\u016B,\u0B0A
\u0065,\u0B0F
\u006F,\u0B13
\u0072\u0325\u0304,\u0B60
\u006C\u0325\u0304,\u0B61
\u0072\u0325,\u0B0B
\u006C\u0325,\u0B0C
\u006B\u0068,\u0B16\u0B4D
\u0067\u0068,\u0B18\u0B4D
\u0063\u0068,\u0B1B\u0B4D
\u006A\u0068,\u0B1D\u0B4D
\u1E6D\u0068,\u0B20\u0B4D
\u1E0D\u0068,\u0B22\u0B4D
\u0074\u0068,\u0B25\u0B4D
\u0064\u0068,\u0B27\u0B4D
\u0070\u0068,\u0B2B\u0B4D
\u0062\u0068,\u0B2D\u0B4D
\u1E5B\u0068,\u0B22\u0B3C\u0B4D
\u006B,\u0B15\u0B4D
\u0067,\u0B17\u0B4D
\u1E45,\u0B19\u0B4D
\u0063,\u0B1A\u0B4D
\u006A,\u0B1C\u0B4D
\u00F1,\u0B1E\u0B4D
\u1E6D,\u0B1F\u0B4D
\u1E0D,\u0B21\u0B4D
\u1E47,\u0B23\u0B4D
\u0074,\u0B24\u0B4D
\u0064,\u0B26\u0B4D
\u006E,\u0B28\u0B4D
\u0070,\u0B2A\u0B4D
\u0062,\u0B2C\u0B4D
\u006D,\u0B2E\u0B4D
\u0079,\u0B2F\u0B4D
\u0072,\u0B30\u0B4D
\u006C,\u0B32\u0B4D
\u1E37,\u0B33\u0B4D
\u0076,\u0B35\u0B4D
\u015B,\u0B36\u0B4D
\u1E63,\u0B37\u0B4D
\u0073,\u0B38\u0B4D
\u0068,\u0B39\u0B4D
\u1E5B,\u0B21\u0B3C\u0B4D
\u0B4D\u0B10,\u0B48
\u0B4D\u0B14,\u0B4C
\u0B4D\u0B05,
\u0B4D\u0B06,\u0B3E
\u0B4D\u0B07,\u0B3F
\u0B4D\u0B08,\u0B40
\u0B4D\u0B09,\u0B41
\u0B4D\u0B0A,\u0B42
\u0B4D\u0B0F,\u0B47
\u0B4D\u0B13,\u0B4B
\u0B4D\u0B60,\u0B44
\u0B4D\u0B61,\u0B63
\u0B4D\u0B0B,\u0B43
\u0B4D\u0B0C,\u0B62
\u1E41,\u0B02
\u0303,\u0B02
\u0310,\u0B01
\u1E25,\u0B03
\u007C\u007C,\u0965
\u007C,\u0964
\u002E,\u0020\u0964
\u0030,\u0B66
\u0031,\u0B67
\u0032,\u0B68
\u0033,\u0B69
\u0034,\u0B6A
\u0035,\u0B6B
\u0036,\u0B6C
\u0037,\u0B6D
\u0038,\u0B6E
\u0039,\u0B6F
